ticker,sector,industry,country,market_cap_usd
CELH,Consumer Defensive,Beverages - Non-Alcoholic,United States,7710112768.0
CENX,Basic Materials,Aluminum,United States,5623705600.0
CF,Basic Materials,Agricultural Inputs,United States,19240529920.0
CFFN,Financial Services,Banks - Regional,United States,935433280.0
CFG,Financial Services,Banks - Regional,United States,25736595456.0
CGON,Healthcare,Biotechnology,United States,5903391232.0
CHD,Consumer Defensive,Household & Personal Products,United States,22284546048.0
CHEF,Consumer Defensive,Food Distribution,United States,3276074496.0
CHF,Unknown,Unknown,Unknown,
CHRD,Energy,Oil & Gas E&P,United States,8354235904.0
CHRW,Industrials,Integrated Freight & Logistics,United States,19282849792.0
CHTR,Communication Services,Telecom Services,United States,19811561472.0
CHWY,Consumer Cyclical,Internet Retail,United States,8866885632.0
CIEN,Technology,Communication Equipment,United States,78399774720.0
CL,Consumer Defensive,Household & Personal Products,United States,70520684544.0
CLS,Technology,Electronic Components,Canada,41223606272.0
CMC,Industrials,Metal Fabrication,United States,7900726272.0
CMCSA,Communication Services,Telecom Services,United States,88448385024.0
CME,Financial Services,Financial Data & Stock Exchanges,United States,108294709248.0
CMI,Industrials,Specialty Industrial Machinery,United States,96113532928.0
CMM AU,Unknown,Unknown,Unknown,
CMP,Basic Materials,Other Industrial Metals & Mining,United States,1231477504.0
CNK,Communication Services,Entertainment,United States,3031810048.0
CNMD,Healthcare,Medical Devices,United States,1068575360.0
CNP,Utilities,Utilities - Regulated Electric,United States,27167657984.0
CNX,Energy,Oil & Gas E&P,United States,5105926656.0
CNXC,Technology,Information Technology Services,United States,1465945984.0
COCO,Consumer Defensive,Beverages - Non-Alcoholic,United States,4479916032.0
COF,Financial Services,Credit Services,United States,116474544128.0
COHR,Technology,Scientific & Technical Instruments,United States,74822262784.0
COIN,Financial Services,Financial Data & Stock Exchanges,United States,51488137216.0
COLL,Healthcare,Drug Manufacturers - Specialty & Generic,United States,1095613056.0
COLM,Consumer Cyclical,Apparel Manufacturing,United States,2953380864.0
COMP,Real Estate,Real Estate Services,United States,5887565824.0
COP,Energy,Oil & Gas E&P,United States,149131378688.0
COR,Healthcare,Medical Distribution,United States,50140327936.0
CORT,Healthcare,Biotechnology,United States,6051408896.0
COST,Consumer Defensive,Discount Stores,United States,465369300992.0
COTY,Consumer Defensive,Household & Personal Products,United States,1813760768.0
COUR,Consumer Defensive,Education & Training Services,United States,1511973632.0
CPAY,Technology,Software - Infrastructure,United States,21453744128.0
CPRT,Industrials,Specialty Business Services,United States,31114860544.0
CPRX,Healthcare,Biotechnology,United States,3815839488.0
CR,Industrials,Specialty Industrial Machinery,United States,9925328896.0
CRBG,Financial Services,Asset Management,United States,12587564032.0
CRC,Energy,Oil & Gas E&P,United States,5428920320.0
CRCL,Financial Services,Capital Markets,United States,30471139328.0
